2630
124	5924
291	307
294	297
297	294
307	291
403	404
404	403
1971	1973
1973	1971
1984	1989
1989	1984
2162	2163
2163	2162
5708	5710
5710	5708
5749	5769
5769	5749
5820	5821
5821	5820
5924	124
5932	5933
5933	5932
6235	6236
6236	6235
6589	25826
6670	6676
6676	6670
6700	6701
6701	6700
6702	6754
6754	6702
6786	6787
6787	6786
6889	6894
6894	6889
7292	7355
7355	7292
7374	7381
7381	7374
7390	7393
7393	7390
7412	7415
7415	7412
7622	7635
7635	7622
7709	7710
7709	7711
7710	7709
7711	7709
7718	7729
7729	7718
7730	7731
7731	7730
8111	8112
8112	8111
8539	8541
8541	8539
8834	8836
8836	8834
8837	8841
8841	8837
9024	9025
9025	9024
9368	9370
9370	9368
9472	9920
9653	9654
9654	9653
9769	9811
9811	9769
9920	9472
10082	10084
10084	10082
10094	10096
10096	10094
10114	10119
10119	10114
10329	10337
10337	10329
10359	10361
10361	10359
10361	10808
10808	10361
11014	11019
11019	11014
11062	11063
11063	11062
11194	11216
11205	11209
11206	11213
11209	11205
11213	11206
11216	11194
11678	11679
11679	11678
11924	12959
11944	23263
11957	11958
11958	11957
12170	12172
12172	12170
12186	12188
12188	12186
12188	12213
12198	12205
12205	12198
12213	12188
12313	12314
12314	12313
12956	12957
12957	12956
12959	11924
12993	12995
12995	12993
13000	13163
13163	13000
13172	13185
13185	13172
13186	13193
13193	13186
13198	13239
13239	13198
13255	13558
13519	13525
13525	13519
13558	13255
13606	14023
14010	14020
14020	14010
14022	14023
14023	13606
14023	14022
14310	14336
14336	14310
14423	14472
14472	14423
14503	14505
14505	14503
14579	14580
14580	14579
14584	14606
14588	14608
14606	14584
14608	14588
14613	14639
14639	14613
14643	14646
14645	14655
14646	14643
14655	14645
14660	33418
14739	14740
14740	14739
15283	15290
15290	15283
15310	15317
15317	15310
15351	15592
15592	15351
15594	15595
15595	15594
15612	15638
15638	15612
15663	15691
15691	15663
16111	16122
16122	16111
16290	16313
16313	16290
16707	16709
16709	16707
17659	17664
17664	17659
18457	18462
18462	18457
19127	19161
19138	19139
19139	19138
19161	19127
19173	19174
19174	19173
19243	19255
19255	19243
19267	19271
19271	19267
19351	19352
19352	19351
19352	19354
19352	19366
19354	19352
19366	19352
20365	20366
20366	20365
20407	20412
20412	20407
20658	20660
20660	20658
20861	20871
20871	20861
20873	20874
20874	20873
21035	21311
21295	21298
21298	21295
21311	21035
21444	21445
21445	21444
21482	21532
21532	21482
21579	21580
21580	21579
21973	22006
21977	22014
22006	21973
22014	21977
